date,asset_1,asset_2,asset_3,asset_4,asset_5,asset_6,asset_7,asset_8,asset_9,asset_10,asset_11,asset_12,asset_13,asset_14,asset_15,asset_16,asset_17,asset_18,asset_19,asset_20
03/01/2000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
04/01/2000,100.0027376,96.76739283,97.61860809,92.79899812,96.79693417,100.0084023,96.77283512,97.62410877,92.80416943,96.80237849,105.8626682,102.3960902,103.3080056,98.14603229,102.4277364,105.868739,102.4019202,103.3138989,98.15156921,102.4335687
05/01/2000,100.0054753,104.5209651,96.47406313,90.15654352,97.78926175,100.0111402,104.5269426,96.47948532,90.16153554,97.79477415,105.8656022,110.7061299,102.081866,95.31726583,103.4908405,105.8716732,110.7125395,102.0876743,95.32260886,103.4967464
06/01/2000,100.0082129,102.7406887,96.03101348,95.2536005,98.50837889,100.013878,102.7465426,96.03640534,95.25893918,98.51394071,105.8685361,108.797389,101.6072795,100.7745948,104.2613311,105.8746073,108.8036647,101.613055,100.7803128,104.2672905
07/01/2000,100.0109505,101.0775357,97.63706849,95.14088917,98.46661097,100.0166158,101.0832746,97.64257044,95.14622015,98.47216991,105.8714699,107.0145924,103.3277835,100.653877,104.2165774,105.8775414,107.0207435,103.3336781,100.6595866,104.2225337
10/01/2000,100.0191634,98.14944952,92.80044305,96.41828428,96.84683506,100.0248292,98.15498666,92.80561446,96.42370265,96.8522828,105.8802716,103.8767512,98.14757938,102.0221153,102.4811932,105.8863436,103.8826839,98.1531164,102.0279195,102.4870292
11/01/2000,100.021901,91.40313891,88.51762968,93.37507827,93.32943697,100.027567,91.40821539,88.52251098,93.38028879,93.33464438,105.8832055,96.65162913,93.56331008,98.76286345,98.71399183,105.8892776,96.65706349,93.56853343,98.76844277,98.71956779
12/01/2000,100.0246386,94.72944483,95.60642422,94.67752035,96.25950701,100.0303048,94.73474771,95.61178703,94.68281968,96.26491451,105.8861393,100.2132206,101.1524929,100.1576113,101.8520342,105.8922117,100.2188999,101.1582369,100.1632866,101.8578266
13/01/2000,100.0273763,93.15999063,100.6091933,94.17658109,96.99328531,100.0330427,93.1651865,100.6148998,94.18184624,96.99874309,105.8890733,98.53255533,106.5126237,99.62114154,102.6380814,105.8951459,98.5381188,106.5187397,99.62677995,102.6439282
14/01/2000,100.0301139,91.07519325,102.2890899,93.77582968,96.79255668,100.0357805,91.08024749,102.2949126,93.7810675,96.7980007,105.8920071,96.30057216,108.3132676,99.19199115,102.423047,105.89808,96.30598247,108.3195095,99.1976,102.428879
17/01/2000,100.0383268,91.35628953,98.08011815,94.13901064,95.90343627,100.043994,91.36136284,98.08565053,94.14427322,95.9088194,105.9008088,96.60147718,103.8024671,99.58090772,101.4706262,105.9068823,96.60690811,103.8083947,99.58654335,101.4763923
18/01/2000,100.0410644,87.32724291,95.80948865,95.36631183,94.63602695,100.0467318,87.33204402,95.81486535,95.37165822,94.64132345,105.9037427,92.28961664,101.3699964,100.8953144,100.1131735,105.9098164,92.29475331,101.3757555,100.9010407,100.1188458
